"Time (s),""Linear Acceleration x (m/s^2)"",""Linear Acceleration y (m/s^2)"",""Linear Acceleration z (m/s^2)"""
1.739622190E0,-8.000160754E-2,6.155967712E-2,-1.705545187E-2
1.749642867E0,-5.759289861E-2,-5.492210388E-3,5.755543709E-3
1.759663492E0,-1.915596984E-2,-3.134727478E-2,1.929849386E-2
1.769664846E0,1.401756704E-2,-2.141761780E-2,-1.408743858E-2
1.779685523E0,3.982185200E-2,1.419639587E-2,3.270053864E-2
1.789706148E0,7.927599549E-2,2.331161499E-2,4.800933599E-2
1.799709950E0,9.697175026E-2,-7.703781128E-3,5.172061920E-2
1.809730627E0,1.054198444E-1,-5.935382843E-2,5.810219049E-2
1.819751252E0,1.161827147E-1,-7.717418671E-2,2.444595098E-2
1.829780159E0,1.105118319E-1,-4.526519775E-2,-2.282822132E-2
1.839800836E0,8.157355338E-2,-2.077102661E-3,1.691818237E-3
1.849821461E0,2.491650358E-2,1.922225952E-2,2.449393272E-3
1.859831773E0,-4.736331105E-2,3.071498871E-2,-5.835217237E-2
1.869852450E0,-7.625703514E-2,3.022575378E-2,-4.063487053E-2
1.879873127E0,-8.843380958E-2,1.327228546E-2,3.823041916E-4
1.889894846E0,-9.597614408E-2,4.369735718E-2,3.143429756E-3
1.899915523E0,-1.036397815E-1,6.650924683E-2,3.075182438E-3
1.909936148E0,-5.925524980E-2,4.887771606E-2,-3.033393621E-2
1.919956565E0,-2.264052257E-2,-3.779411316E-3,-6.088042259E-2
1.929977242E0,3.701013327E-2,-3.438568115E-2,-5.103641748E-2
1.939997867E0,2.277653292E-2,-2.448463440E-2,-2.982270718E-2
1.950021669E0,4.193198681E-2,-2.181529999E-2,-5.609661341E-2
1.960042346E0,9.638471156E-2,-6.392002106E-2,-1.596367359E-2
1.970062971E0,1.125659123E-1,-6.059265137E-2,7.019400597E-3
1.980064117E0,5.785110593E-2,-2.669429779E-2,3.911674023E-3
1.990084794E0,3.233779222E-2,1.939773560E-3,3.626245260E-2
2.000105419E0,-6.918851286E-3,3.008651733E-2,6.797856092E-2
2.010116409E0,-4.587915167E-2,4.130172729E-2,2.781629562E-3
2.020137034E0,-4.435174167E-2,4.294204712E-2,-3.279316425E-2
2.030157711E0,-4.758122563E-2,1.157665253E-2,-5.854827166E-2
2.040198648E0,-9.562882781E-2,6.576538086E-3,-1.102981567E-1
2.050219325E0,-1.028995812E-1,-5.448341370E-3,-1.545499563E-1
2.060211565E0,-9.840307385E-2,-1.020908356E-2,-1.913082600E-2
2.070208179E0,-9.411028028E-2,-3.131866455E-3,-1.324206591E-2
2.080228752E0,-5.457906798E-2,2.024650574E-2,-4.805308580E-2
2.090249377E0,-8.787645958E-3,5.735683441E-2,4.776895046E-3
2.100270054E0,2.430715412E-2,3.738975525E-2,3.126037121E-2
2.110337242E0,4.991279170E-2,-1.523399353E-2,-5.600261688E-2
2.120357919E0,5.646635965E-2,-1.989936829E-2,-5.945014954E-2
2.130378544E0,7.022128999E-2,-4.332160950E-2,5.723112822E-2
2.140403596E0,8.165679872E-2,-2.864551544E-2,8.995050192E-2
2.150424273E0,5.763154477E-2,-9.480476379E-3,4.647672176E-3
2.160444898E0,6.506179273E-2,-2.126121521E-2,5.329132080E-3
2.170460784E0,7.015679777E-2,-4.697132111E-2,5.779457092E-2
2.180481461E0,6.591131538E-2,-5.103015900E-2,5.321526527E-2
2.190502138E0,4.769968987E-2,-2.199649811E-2,2.578955889E-2
2.200520731E0,1.810583845E-2,-5.102157593E-4,-2.001321316E-2
2.210541409E0,1.240103878E-2,-5.855560303E-4,3.079295158E-3
2.220562086E0,-1.432984974E-2,3.231048584E-2,3.059178591E-2
2.230566409E0,-6.689818203E-2,5.282497406E-2,-8.658713102E-2
2.240587086E0,-9.039251506E-2,8.235740662E-2,-8.231937885E-2
2.250607711E0,-1.253989637E-1,5.960083008E-2,1.364773512E-2
2.260624898E0,-1.226129830E-1,6.631851196E-3,-4.846751690E-3
2.270645575E0,-1.272806525E-1,-2.194976807E-2,-2.577126026E-2
2.280666252E0,-9.867025912E-2,-4.301071167E-2,5.470514297E-4
2.290682398E0,-4.003190622E-2,-5.899524689E-2,2.892529964E-2
2.300703075E0,5.857184064E-3,-4.408931732E-2,1.228940487E-2
2.310723700E0,3.204111382E-2,-3.506660461E-3,-1.427352428E-3
2.320739534E0,2.469403297E-2,3.405189514E-2,6.322264671E-3
2.330760211E0,7.855953649E-3,3.565120697E-2,2.081328630E-2
