"Time (s),""Linear Acceleration x (m/s^2)"",""Linear Acceleration y (m/s^2)"",""Linear Acceleration z (m/s^2)"""
1.201273396E0,-2.126574516E-3,7.582855225E-2,-9.899961948E-2
1.211272296E0,1.023614407E-2,3.777790070E-2,-8.930099010E-2
1.221271129E0,-1.109516621E-2,-3.134155273E-2,-2.633380890E-2
1.231270029E0,-3.606021404E-3,-6.460094452E-2,5.048346519E-2
1.241268929E0,-3.945761919E-2,-5.487346649E-2,2.558076382E-2
1.251267762E0,-5.352985859E-2,-1.646518707E-2,4.336357117E-2
1.261266662E0,-1.027943194E-1,2.686500549E-3,6.775230169E-2
1.271265528E0,-1.438124180E-1,8.631801605E-2,7.199382782E-2
1.281264361E0,-1.160296500E-1,1.266651154E-1,1.790165901E-2
1.291263227E0,-6.041914225E-3,9.755802155E-2,-2.414071560E-2
1.301262093E0,4.028189182E-2,4.226112366E-2,-4.382216930E-2
1.311260959E0,6.115868688E-2,-2.724361420E-2,-7.965087891E-2
1.321259825E0,9.724289179E-2,-6.062507629E-2,-1.285371780E-1
1.331258691E0,1.315656602E-1,-4.820060730E-2,-1.562579870E-1
1.341257557E0,1.758133769E-1,4.350090027E-2,-8.656454086E-2
1.351256423E0,1.895534098E-1,8.741950989E-2,-9.837996960E-2
1.361255223E0,1.853300929E-1,6.196212769E-2,-8.132207394E-2
1.371254089E0,1.225101352E-1,1.980686188E-2,-1.433587074E-2
1.381252955E0,4.792010784E-2,-2.489662170E-2,1.540958881E-2
1.391251755E0,-1.306414604E-3,4.989051819E-2,-4.700243473E-2
1.401250621E0,4.217648506E-2,7.432365417E-2,-8.055090904E-2
1.411249487E0,2.434313297E-3,9.878921509E-2,-3.713381290E-2
1.421248353E0,1.183760166E-2,4.167175293E-2,6.134510040E-4
1.431247219E0,1.968801022E-2,1.311588287E-2,-8.199214935E-3
1.441246085E0,1.126569510E-2,1.293182373E-3,9.289145470E-3
1.451244951E0,-3.499007225E-2,-1.781082153E-2,7.399713993E-2
1.461243817E0,-5.386865139E-2,-1.200675964E-3,6.079995632E-2
1.471242583E0,-7.176381350E-2,-3.835678101E-3,8.316218853E-2
1.481241416E0,-7.924509048E-2,1.253509521E-2,7.348752022E-2
1.491240216E0,-1.267363727E-1,3.358078003E-2,8.242410421E-2
1.501238982E0,-1.610004902E-1,4.734230042E-2,8.605128527E-2
1.511237715E0,-1.700034440E-1,5.379199982E-2,7.252752781E-2
1.521236448E0,-1.492577195E-1,3.621768951E-2,2.281832695E-2
1.531235114E0,-1.421779990E-1,3.548049927E-2,1.934218407E-2
1.541233847E0,-5.894413590E-2,1.571750641E-2,-3.089487553E-2
1.551232580E0,-1.746216416E-2,-1.447677612E-3,-8.101344109E-3
1.561231313E0,-8.474975824E-3,3.177070618E-2,1.511323452E-2
1.571230046E0,-1.742437482E-2,5.309677124E-2,2.641522884E-2
1.581228779E0,1.132234931E-2,3.848171234E-2,-1.791572571E-2
1.591227512E0,1.272988319E-2,3.836536407E-2,-1.836979389E-2
1.601226278E0,-2.991554141E-2,-1.679229736E-2,3.619992733E-2
1.611224978E0,-2.933919430E-2,-2.649497986E-2,6.650209427E-3
1.621223744E0,-4.799479246E-2,-2.596855164E-3,-1.277053356E-2
1.631222477E0,2.222567797E-2,1.174449921E-2,-4.618203640E-2
1.641221210E0,6.978645921E-2,5.498027802E-2,-1.638638973E-2
1.651219976E0,1.089065075E-1,9.825897217E-2,-1.291549206E-2
1.661218742E0,1.465889812E-1,6.498718262E-2,-6.226766109E-2
1.671217508E0,1.707472503E-1,7.932662964E-3,-9.186697006E-2
1.681216274E0,1.239567995E-1,-2.258396149E-2,-6.053459644E-2
1.691215040E0,7.423841953E-2,-1.236248016E-2,-6.961894035E-2
1.701213806E0,1.549112797E-2,3.382015228E-2,-1.596779823E-1
1.711212606E0,-8.494973183E-3,5.377101898E-2,-1.331335306E-1
1.721211306E0,6.851911545E-3,1.864719391E-2,2.308106422E-2
1.731210072E0,2.291017771E-2,-7.157325745E-3,4.305350780E-2
1.741208838E0,1.296049356E-2,-1.637649536E-2,4.251849651E-2
1.751207538E0,-2.072232962E-2,3.412532806E-2,6.253719330E-2
1.761206304E0,-1.029086113E-2,2.701187134E-2,1.054447889E-1
1.771205104E0,-4.998546839E-2,1.732158661E-2,6.785428524E-2
1.781203804E0,-1.440012455E-2,1.947402954E-2,8.036613464E-3
1.791202570E0,2.374869585E-2,1.931762695E-2,-1.740539074E-2
1.801201336E0,2.059340477E-2,2.648448944E-2,-1.087486744E-2
1.811200102E0,6.507134438E-2,2.169322968E-2,-4.720175266E-2
1.821198868E0,1.281324029E-1,1.223564148E-2,-9.254503250E-2
1.831197634E0,1.414182186E-1,6.289768219E-2,-8.353793621E-2
